 ,Pos,No.,Name,Club,Category,Status,Time Taken,Award,Generation,Newcomer,Events,Generation,Ingleborough,Cold Cotes,Whernside,Ribblehead,Pen-y-ghent,Finish
Details/Certificate,1st,1,Paul Oldham,Hope Factory Racing,M, ,02:58:30,Elite,G, ,10,P/S Chris & Paul Oldham,00:47:50,01:00:55,01:41:33,02:00:39,02:41:11,02:58:30
Details/Certificate,2nd,154,Rob Jebb,Hope Factory Racing,MV40, ,02:59:06,Elite, , ,14, ,00:45:45,00:59:29,01:40:52,01:59:16,02:41:14,02:59:06
Details/Certificate,3rd,122,Nick Craig,Scott Racing,MV40, ,03:07:28,Elite, , ,17, ,00:49:10,01:02:41,01:46:51,02:05:55,02:48:28,03:07:28
Details/Certificate,4th,48,Gary Macdonald,Hope Factory Racing,M, ,03:11:53,Elite, , ,3, ,00:51:12,01:04:50,01:49:28,02:07:48,02:53:28,03:11:53
Details/Certificate,5th,39,Adrian Lansley,Pedal On,M, ,03:11:59,Elite, , ,2, ,00:49:09,01:03:33,01:47:35,02:06:24,02:52:11,03:11:59
Details/Certificate,6th,102,Ben BardsleyTwitterStrava,Cyclewise Altura,MV40, ,03:12:09,Elite, , ,8, ,00:49:12,01:03:09,01:47:23,02:07:45,02:53:31,03:12:09
Details/Certificate,7th,29,Alex Forrester,Zepnat.com Lazer American Classics,M, ,03:12:31,Elite, , ,15, ,00:49:18,01:03:12,01:49:21,02:08:19,02:53:55,03:12:31
Details/Certificate,8th,195,Ian Taylor,C & N Cycles RT,MV40, ,03:12:33,Elite, , ,17, ,00:49:51,01:02:15,01:48:28,02:06:11,02:55:11,03:12:33
Details/Certificate,9th,54,David Mirfield,Ride-on Bike Shop,M, ,03:12:35,Elite, , ,3, ,00:50:43,01:04:30,01:49:25,02:07:47,02:54:46,03:12:35
Details/Certificate,10th,74,Nic Smith,Moonglu,M, ,03:13:13,Elite, ,N,0, ,00:50:02,01:05:03,01:49:22,02:09:30,02:54:46,03:13:13
Details/Certificate,11th,204,Dan Whitehead,Bike Station Ballater,MV40, ,03:15:45,Elite, , ,9, ,00:49:21,01:02:50,01:48:39,02:07:15,02:56:20,03:15:45
Details/Certificate,12th,31,Matthew Fretwell,Escape Bike Shop,M, ,03:17:08,Elite, , ,4, ,00:51:19,01:04:26,01:50:44,02:08:16,02:58:29,03:17:08
Details/Certificate,13th,185,Andrew PeaceFacebook,Jedi Cycle Sport,MV40, ,03:17:11,Elite, , ,21, ,00:51:42,01:05:41,01:52:51,02:11:11,02:58:47,03:17:11
Details/Certificate,14th,8,Dan Booth,Hope Factory Racing,M, ,03:17:19,Elite, , ,7, ,00:52:37,01:05:25,01:52:12,02:09:50,02:59:38,03:17:19
Details/Certificate,15th,28,Hamish Fletcher-Cooney,All Terrain Cycles - Ride in Peace,M, ,03:17:46,Elite, , ,1, ,00:52:14,01:04:47,01:51:35,02:08:50,02:59:29,03:17:46
Details/Certificate,16th,7,Florent BessesFacebook,FFCAM Excellence  France,M, ,03:18:37,Elite, ,N,0, ,00:51:40,01:06:46,01:52:30,02:11:33,02:59:05,03:18:37
Details/Certificate,17th,189,Simon Rodgers,U/A Halifax,MV40, ,03:19:57,Elite, , ,8, ,00:52:28,01:06:57,01:53:01,02:12:22,03:00:14,03:19:57
Details/Certificate,18th,75,Andrew Stuart,Nottingham Clarion,M, ,03:21:09,Elite, , ,2, ,00:52:16,01:06:52,01:52:50,02:12:34,03:00:56,03:21:09
Details/Certificate,19th,59,Mirko Pfau,Team WNT,M, ,03:23:11,Elite, , ,1, ,00:52:19,01:08:00,01:54:55,02:15:00,03:03:27,03:23:11
Details/Certificate,20th,92,Edwyn Oliver-Evans,www.cxmagazine.com,MU23, ,03:23:13,Elite,G, ,3,P/S Timothy Evans & Edwyn Oliver-Evans,00:52:09,01:07:30,01:54:56,02:14:33,03:03:26,03:23:13
Details/Certificate,21st,95,Bob Addey,Otley,MV40, ,03:23:49,Elite, , ,6, ,00:52:15,01:05:47,01:54:08,02:13:26,03:04:20,03:23:49
Details/Certificate,22nd,27,Richard Firth,U/A Leeds,M, ,03:23:54,Elite, , ,1, ,00:52:43,01:07:11,01:53:36,02:13:09,03:04:06,03:23:54
Details/Certificate,23rd,6,David Beskeen,Psyclewerx,M, ,03:24:26,Elite, , ,2, ,00:53:17,01:09:06,01:55:40,02:16:20,03:04:34,03:24:26
