,Pos,No.,Name,Club,Category,Time Taken,Award,Generation,Newcomer,Events,Generation,Ingleborough,Cold Cotes,Whernside,Ribblehead,Pen-y-ghent,Finish
Details/Certificate,1st,1,Paul Oldham,Hope Factory Racing,MV40,03:06:16,Elite,G, ,14,P/S Chris & Paul Oldham,00:46:40,01:00:20,01:43:16,02:01:29,02:46:41,03:06:16
Details/Certificate,2nd,235,David Mirfield,U/A Colne,M,03:09:45,Elite, , ,4, ,00:49:28,01:02:07,01:47:58,02:05:19,02:53:00,03:09:45
Details/Certificate,3rd,218,Alexander Forrester,zepnat.com,M,03:10:25,Elite, , ,16, ,00:47:49,01:02:20,01:47:01,02:05:06,02:52:24,03:10:25
Details/Certificate,4th,365,Adrian Lansley,Pedalon,MV40,03:12:30,Elite, , ,3, ,00:47:16,01:02:06,01:48:52,02:07:35,02:54:35,03:12:30
Details/Certificate,5th,130,Gary MacdonaldFacebookStrava,Hope Factory Racing,M,03:12:47,Elite, , ,4, ,00:49:57,01:02:40,01:50:26,02:07:36,02:55:07,03:12:47
Details/Certificate,6th,154,Giles DrakeFacebookTwitterInstagramStrava,Leisure Lakes Bikes.Com,M,03:14:03,Elite, ,N,0, ,00:46:55,01:01:53,01:46:58,02:11:05,02:53:15,03:14:03
Details/Certificate,7th,380,Nick Craig,SCOTT-UK,MV40,03:15:19,Elite, , ,18, ,00:48:24,01:01:55,01:46:02,02:08:31,02:55:31,03:15:19
Details/Certificate,8th,202,Jonathan Pugh,The Bulls,M,03:15:37,Elite, , ,2, ,00:48:25,01:02:00,01:47:51,02:06:13,02:56:13,03:15:37
Details/Certificate,9th,282,Ben BardsleyTwitterStrava,Cyclewise Altura,MV40,03:19:30,Elite, , ,9, ,00:48:55,01:03:19,01:49:33,02:08:45,02:59:36,03:19:30
Details/Certificate,10th,243,Thomas Zahnd,U/A Switzerland,M,03:20:25,Elite, ,N,0, ,00:49:31,01:03:41,01:51:25,02:12:41,03:00:05,03:20:25
